"subj","current_staircase","duration_test","duration_ref","contrast_test","contrast_ref","stimulus_type","reference_type","stimulus_filename","reference_filename","ref_test_order","RT","resp","updated_threshold","updated_slope","updated_lapse","updated_guess","task","trials","group_id","energy","E","T","D","Ldu","Len"
"07",4,2924,5000,80,"050",1,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_05_Caucasian_male_angry_frontal_080.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_19_Caucasian_female_neutral_frontal_050.tiff",1,0.3200395,1,80.8412041088895,0.0309291193559447,0.0674343848239959,0.0727003394161149,"faces",50,"F_07_split_by_duration_test.2924",233920,-0.327990407430143,1.67755657243748,-0.792581686348446,7.98070782086967,12.3627344555436
"07",5,5268,5000,43,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_05_Caucasian_male_neutral_frontal_043.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_07_Caucasian_male_neutral_frontal_050.tiff",0,0.4710422,0,42.2645435514555,0.0302286957894888,0.0577245560501056,0.0797093011627396,"faces",50,"F_07_split_by_duration_test.5268",226524,-0.347860804672379,0.342810650585651,-0.719066603216284,8.56940606286317,12.3306061785567
"07",6,9491,5000,25,"050",1,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_27_Caucasian_female_angry_frontal_025.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_03_Caucasian_male_angry_frontal_050.tiff",0,0.3370412,0,24.4516926048072,0.0370071009810762,0.077363210071816,0.0855030745123621,"faces",50,"F_07_split_by_duration_test.9491",237275,-0.318976726690865,-0.273510975341389,-0.586620273836114,9.15809926013049,12.3769750849987
"07",7,17100,5000,14,"050",1,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_15_Caucasian_male_angry_frontal_014.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_23_Caucasian_male_neutral_frontal_050.tiff",0,0.3800436,0,14.8252710793173,0.0307982831115032,0.0674833177909094,0.0819375994692535,"faces",50,"F_07_split_by_duration_test.17100",239400,-0.313267614449147,-0.606583529769593,-0.347978521467249,9.74683374249075,12.385891072106
"07",8,30808,5000,12,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_14_Caucasian_female_neutral_frontal_012.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_12_Caucasian_female_neutral_frontal_050.tiff",1,0.4950444,0,11.2863759014496,0.0255485253134233,0.0641614511576288,0.052747951237866,"faces",50,"F_07_split_by_duration_test.30808",369696,0.0367909684435362,-0.729028703568073,0.0819467172595741,10.3355296754947,12.8204363252827
"07",9,55505,5000,10,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_04_Caucasian_female_neutral_frontal_010.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_22_Caucasian_female_neutral_frontal_050.tiff",1,0.1590562,1,9.40913531808403,0.0274747845313581,0.062349299201191,0.0564674597604851,"faces",50,"F_07_split_by_duration_test.55505",555050,0.534770634538354,-0.793980909818572,0.856520952803516,10.9242283857667,13.2268134787608
"07",10,100000,5000,10,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_14_Caucasian_female_neutral_frontal_010.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_28_Caucasian_male_neutral_frontal_050.tiff",0,0.31403,0,9.20195380277815,0.033746374912168,0.0595165427862002,0.0474705776080259,"faces",50,"F_07_split_by_duration_test.100000",1000000,1.73019157192783,-0.801149355159399,2.25202164562158,11.5129254649702,13.8155105579643
"08",1,500,5000,80,"050",1,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_04_Caucasian_female_angry_frontal_080.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_21_Caucasian_male_angry_frontal_050.tiff",0,0.6760459,1,80.8207493796945,0.0277220467423934,0.0488943602730198,0.0649153677798422,"faces",50,"F_08_split_by_duration_test.500",40000,-0.84898384080146,1.67684884227159,-0.868605816686483,6.21460809842219,10.5966347330961
"08",2,901,5000,63,"050",1,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_08_Caucasian_female_angry_frontal_063.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_07_Caucasian_male_angry_frontal_050.tiff",1,0.7442573,1,63.3213455047275,0.0552456283620894,0.0485681758360584,0.0955063214922671,"faces",50,"F_08_split_by_duration_test.901",56763,-0.80394767679773,1.07137243193858,-0.856029217567031,6.80350525760834,10.9466399839999
"08",4,2924,5000,34,"050",1,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_07_Caucasian_male_angry_frontal_034.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_03_Caucasian_male_angry_frontal_050.tiff",1,0.5960705,0,34.3813992244662,0.027373770280453,0.0604964404049801,0.0539433854834152,"faces",50,"F_08_split_by_duration_test.2924",99416,-0.689354375881957,0.0700551919799771,-0.792581686348446,7.98070782086967,11.5070683454858
