"subj","current_staircase","duration","contrast","stimulus_type","stimulus_filename","RT","resp","correct","updated_threshold","updated_slope","updated_lapse","updated_guess","task","trials","group_id","energy"
"07",5,5268,85,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_03_Caucasian_male_angry_frontal_085.tiff",0.397071,0,0,89.8408825896199,0.0551308181133251,0.0529416763973224,0.5,"faces",50,"F_07_split_by_duration.5268",447780
"07",6,9491,58,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_19_Caucasian_female_angry_frontal_058.tiff",0.4580582,0,0,58.302782080196,0.0541459695976078,0.0676945574653418,0.5,"faces",50,"F_07_split_by_duration.9491",550478
"07",7,17100,24,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_24_Caucasian_male_angry_frontal_024.tiff",0.4550506,1,1,23.7615424704228,0.0603140550642728,0.0571176318984607,0.5,"faces",50,"F_07_split_by_duration.17100",410400
"07",8,30808,18,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_27_Caucasian_female_neutral_frontal_018.tiff",0.5490512,0,1,17.2130281301511,0.0470326919638028,0.0555492456649406,0.5,"faces",50,"F_07_split_by_duration.30808",554544
"07",9,55505,12,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_19_Caucasian_female_neutral_frontal_012.tiff",0.4750493,0,1,10.7453758684365,0.0549348788001904,0.0748569607161335,0.5,"faces",50,"F_07_split_by_duration.55505",666060
"07",10,1e+05,12,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_02_Caucasian_female_angry_frontal_012.tiff",0.5580322,0,0,12.6354035171649,0.0477675837823022,0.0501281087868521,0.5,"faces",50,"F_07_split_by_duration.1e+05",1200000
"08",8,30808,93,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_27_Caucasian_female_neutral_frontal_093.tiff",0.4090535,0,1,92.4738891475759,0.0518086537396534,0.0667280508453256,0.5,"faces",50,"F_08_split_by_duration.30808",2865144
"09",2,901,98,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_10_Caucasian_male_angry_frontal_098.tiff",1.0610351,0,0,98.6454603143985,0.0553597394769311,0.0528932581531844,0.5,"faces",50,"F_09_split_by_duration.901",88298
"09",5,5268,89,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_22_Caucasian_female_angry_frontal_089.tiff",0.3760358,1,1,87.833670818661,0.0506728733527018,0.0781014046056126,0.5,"faces",50,"F_09_split_by_duration.5268",468852
"09",6,9491,65,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_01_Caucasian_female_angry_frontal_065.tiff",0.3520383,1,1,62.6234476910425,0.0549604893835631,0.051846856533474,0.5,"faces",50,"F_09_split_by_duration.9491",616915
"09",7,17100,48,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_15_Caucasian_male_neutral_frontal_048.tiff",0.2210345,0,1,47.9151846879529,0.056728287459644,0.0603636685238753,0.5,"faces",50,"F_09_split_by_duration.17100",820800
"09",8,30808,38,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_31_Caucasian_female_angry_frontal_038.tiff",0.3800981,1,1,34.2957536555793,0.0546010429413848,0.0662124429305515,0.5,"faces",50,"F_09_split_by_duration.30808",1170704
"09",9,55505,12,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_25_Caucasian_male_neutral_frontal_012.tiff",0.3660915,0,1,11.2590271495184,0.0481061880708356,0.0462256694737699,0.5,"faces",50,"F_09_split_by_duration.55505",666060
"09",10,1e+05,12,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_31_Caucasian_female_neutral_frontal_012.tiff",0.3410909,0,1,11.7039641440984,0.049724729847465,0.070562616118085,0.5,"faces",50,"F_09_split_by_duration.1e+05",1200000
"10",6,9491,85,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_22_Caucasian_female_angry_frontal_085.tiff",0.4880505,1,1,85.181830689942,0.0490583129338644,0.054461316696293,0.5,"faces",50,"F_10_split_by_duration.9491",806735
"10",7,17100,89,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_02_Caucasian_female_neutral_frontal_089.tiff",0.2980466,0,1,88.4254574344937,0.0484638292498468,0.0640269640754054,0.5,"faces",50,"F_10_split_by_duration.17100",1521900
"10",8,30808,88,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_23_Caucasian_male_angry_frontal_088.tiff",0.983044,1,1,87.7037530809727,0.0507249403002107,0.052526683601342,0.5,"faces",50,"F_10_split_by_duration.30808",2711104
"10",10,1e+05,28,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_21_Caucasian_male_neutral_frontal_028.tiff",0.4270381,0,1,27.3188311681392,0.0516747804393052,0.0562755378071432,0.5,"faces",50,"F_10_split_by_duration.1e+05",2800000
"12",5,5268,89,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_25_Caucasian_male_angry_frontal_089.tiff",0.2650365,0,0,90.046706886632,0.0505599206119565,0.0779432813691051,0.5,"faces",50,"F_12_split_by_duration.5268",468852
"12",6,9491,50,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_19_Caucasian_female_angry_frontal_050.tiff",0.248112,0,0,50.2315775377941,0.0550135670208427,0.0734876856328484,0.5,"faces",50,"F_12_split_by_duration.9491",474550
"12",7,17100,52,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_04_Caucasian_female_neutral_frontal_052.tiff",0.4430427,1,0,53.3387041990063,0.0513753219816236,0.0689927903413406,0.5,"faces",50,"F_12_split_by_duration.17100",889200
"12",8,30808,20,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_27_Caucasian_female_neutral_frontal_020.tiff",0.4840575,1,0,26.1186547343095,0.0545181505638368,0.0795266683901942,0.5,"faces",50,"F_12_split_by_duration.30808",616160
"12",9,55505,13,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_09_Caucasian_male_neutral_frontal_013.tiff",0.4310599,0,1,12.9248031665928,0.0527699146921631,0.036420987915612,0.5,"faces",50,"F_12_split_by_duration.55505",721565
"12",10,1e+05,30,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_25_Caucasian_male_angry_frontal_030.tiff",0.6611127,1,1,30.4574748372296,0.0546328621561057,0.0505544298561989,0.5,"faces",50,"F_12_split_by_duration.1e+05",3e+06
"13",1,500,98,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_18_Caucasian_female_neutral_frontal_098.tiff",0.5160626,1,0,98.2920400573742,0.0524507987654868,0.0550721209745776,0.5,"faces",50,"F_13_split_by_duration.500",49000
"13",6,9491,31,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_20_Caucasian_male_neutral_frontal_031.tiff",0.3390532,1,0,31.3117709562258,0.0493113368563564,0.0679580192474149,0.5,"faces",50,"F_13_split_by_duration.9491",294221
"13",7,17100,35,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_04_Caucasian_female_angry_frontal_035.tiff",0.2150458,1,1,32.7137145089432,0.055246369633536,0.083230738023933,0.5,"faces",50,"F_13_split_by_duration.17100",598500
"13",8,30808,15,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_12_Caucasian_female_neutral_frontal_015.tiff",0.3720307,0,1,13.308141821208,0.0544294653484196,0.0841888573925521,0.5,"faces",50,"F_13_split_by_duration.30808",462120
"13",9,55505,24,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_07_Caucasian_male_angry_frontal_024.tiff",0.3121002,1,1,23.7180708384933,0.0528326611146318,0.0407792112382772,0.5,"faces",50,"F_13_split_by_duration.55505",1332120
"13",10,1e+05,9,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_28_Caucasian_male_neutral_frontal_009.tiff",0.6590562,1,0,9.22564641446659,0.0610663239726875,0.0632799545567642,0.5,"faces",50,"F_13_split_by_duration.1e+05",9e+05
"14",7,17100,65,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_02_Caucasian_female_angry_frontal_065.tiff",0.3070458,0,0,65.1116439885262,0.05800214195236,0.0401625867817878,0.5,"faces",50,"F_14_split_by_duration.17100",1111500
"14",8,30808,48,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_26_Caucasian_female_angry_frontal_048.tiff",0.4560736,0,0,47.0616911145002,0.0631640200019017,0.0391512288393743,0.5,"faces",50,"F_14_split_by_duration.30808",1478784
"14",9,55505,16,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_04_Caucasian_female_neutral_frontal_016.tiff",0.3330874,0,1,15.8125217673595,0.0561012487687314,0.0587447300779409,0.5,"faces",50,"F_14_split_by_duration.55505",888080
"14",10,1e+05,9,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_19_Caucasian_female_angry_frontal_009.tiff",0.0640363,0,0,10.5524613270718,0.0537546248627881,0.074391052856213,0.5,"faces",50,"F_14_split_by_duration.1e+05",9e+05
"15",5,5268,95,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_02_Caucasian_female_angry_frontal_095.tiff",0.4000362,1,1,95.5998892212085,0.0563425853376889,0.04626226678826,0.5,"faces",50,"F_15_split_by_duration.5268",500460
"15",6,9491,53,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_23_Caucasian_male_neutral_frontal_053.tiff",0.4260527,1,0,52.9511204690182,0.0570167294886889,0.0395478554454752,0.5,"faces",50,"F_15_split_by_duration.9491",503023
"15",7,17100,25,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_21_Caucasian_male_angry_frontal_025.tiff",0.5520765,1,1,23.414125997789,0.0564999752936552,0.0809876735696429,0.5,"faces",50,"F_15_split_by_duration.17100",427500
"15",8,30808,53,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_09_Caucasian_male_neutral_frontal_053.tiff",0.3270562,0,1,52.936824719467,0.0595548534621309,0.0383802630607531,0.5,"faces",50,"F_15_split_by_duration.30808",1632824
"15",9,55505,12,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_18_Caucasian_female_angry_frontal_012.tiff",0.5430293,1,1,10.4815660408264,0.0531190622219377,0.0764813486468582,0.5,"faces",50,"F_15_split_by_duration.55505",666060
"15",10,1e+05,15,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_15_Caucasian_male_angry_frontal_015.tiff",0.4440282,1,1,14.2875548851654,0.0550580403832984,0.0780630446914857,0.5,"faces",50,"F_15_split_by_duration.1e+05",1500000
"16",5,5268,56,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_26_Caucasian_female_angry_frontal_056.tiff",0.4100398,0,0,56.5266672775831,0.050903185037079,0.0596716019520884,0.5,"faces",50,"F_16_split_by_duration.5268",295008
"16",6,9491,55,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_21_Caucasian_male_neutral_frontal_055.tiff",0.4060627,0,1,53.5324112574762,0.0537724799299472,0.0734807500840147,0.5,"faces",50,"F_16_split_by_duration.9491",522005
"16",7,17100,45,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_12_Caucasian_female_neutral_frontal_045.tiff",0.2470543,0,1,44.595836061903,0.051911106644362,0.0628625545351233,0.5,"faces",50,"F_16_split_by_duration.17100",769500
"16",8,30808,24,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_18_Caucasian_female_angry_frontal_024.tiff",0.5430505,0,0,24.5281714799589,0.0514212267720329,0.0432057640620504,0.5,"faces",50,"F_16_split_by_duration.30808",739392
